1 0.5
2 0.25
3 0.125
4 0.0625
5 0.03125
6 0.015625
7 0.0078125
8 0.0039062
9 0.0019531
10 0.00097656
11 0.00048828
12 0.00024414
13 0.00012207
14 6.1035e-05
15 3.0518e-05
16 1.5259e-05
17 7.6294e-06
18 3.8147e-06
19 1.9073e-06
20 9.5367e-07
21 4.7684e-07
22 2.3842e-07
23 1.1921e-07
24 5.9605e-08
25 2.9802e-08
26 1.4901e-08
27 7.4506e-09
28 3.7253e-09
29 1.8626e-09
30 9.3132e-10
31 4.6566e-10
32 2.3283e-10
33 1.1642e-10
34 5.8208e-11
35 2.9104e-11
36 1.4552e-11
37 7.276e-12
38 3.638e-12
39 1.819e-12
40 9.0949e-13
41 4.5475e-13
42 2.2737e-13
43 1.1369e-13
44 5.6843e-14
45 2.8422e-14
46 1.4211e-14
47 7.1054e-15
48 3.5527e-15
49 1.7764e-15
50 8.8818e-16
51 4.4409e-16
52 2.2204e-16
